지역,2008개수(EA),2008무게(kg),2008부피(L),2009개수(EA),2009무게(kg),2009부피(L),2010개수(EA),2010무게(kg),2010부피(L),2011개수(EA),2011무게(kg),2011부피(L),2012개수(EA),2012무게(kg),2012부피(L),2013개수(EA),2013무게(kg),2013부피(L),2014개수(EA),2014무게(kg),2014부피(L),2015개수(EA),2015무게(kg),2015부피(L),2016개수(EA),2016무게(kg),2016부피(L),2017개수(EA),2017무게(kg),2017부피(L)
강화여차리갯벌,3709,373.1,2654.7,3997,273.3,1962.9,3329,219.4,1810.4,1278,89.7,1155.2,1148,247.9,1223,2167,335.1,1273.5,3330,1092.9,2298.5,7619,571,2237.4,6574,452.4,1976,5927,522.6,6033.1
안산말부흥,1824,69.2,434.9,1887,127.8,601.6,1922,130.3,1176,1674,121.7,826.1,1779,63.5,608,1609,50.9,413.7,705,35.5,141.2,479,40.2,136.3,203,23.9,102.6,227,26.2,129.7
태안백리포,1389,132.8,550.7,1998,600.1,2910.8,987,200.8,968.3,622,198.7,571.5,803,289.6,1433.5,595,744,1363,504,436.6,613.5,309,210.3,270.2,318,73.3,370.1,372,194.1,642.6
보령석대도,1811,507.4,2936.5,1154,276.8,1452.7,1775,856.3,2301,1307,607.1,1877.3,1771,370.9,772.6,775,341.8,431.7,815,647.1,1766.6,812,165.1,165.1,328,180.1,1658.6,257,177.4,673
부안변산,1442,852.1,5104.4,3432,1159.8,9309.2,2294,430.4,3126.4,3015,1091,8069.2,1947,2356.1,12969.2,1606,1700,4959.9,2283,513.6,6171.1,1949,786.7,8873,748,385.3,3839.6,434,222,1541.5
신안임자도,1012,443.1,2886.3,1167,342.3,2350.4,2583,675.4,4395.2,1530,331.1,2430.7,1251,424,2546.8,2321,794.6,3422.9,1348,350.2,2035.9,1653,759,3723.9,1420,492.6,3294.4,715,240.9,2810
진도하조도,2377,2346.6,4212.4,1419,1597.1,3125,4962,2283.9,6627.4,4692,4265.5,9918.6,2056,1425.6,4595.5,4949,3192.7,10808.3,1386,1673.7,3506.2,1008,473.7,1670,1453,1100,3291.1,643,314.1,1872.5
해남묵동리,832,174.4,1329.4,818,311.4,2323,692,209.4,838.1,801,132.5,482.2,1442,117.3,3788.2,370,176.8,261.4,322,74.5,219.1,338,106.9,211.2,490,114,267.9,487,111,958.9
고흥신흥,2880,805.7,3996.3,3257,948.4,2747.2,3714,991.8,3682,2156,755.8,2962,3644,1084.2,5132.1,1817,611.5,2587.9,1779,415,1861.6,1523,224.4,1629.8,2253,410.5,1615.8,3277,415.2,4119.9
순천반월,3965,746.2,3547.3,2721,1194.6,9408.1,1763,1002.3,5172.9,654,67.2,239.1,589,48.2,437.6,992,46.3,670.3,768,30.9,512.1,1102,44.7,614,1078,48.9,590.5,1006,32.6,561.6
사천아두도,4458,502.2,2703.4,1914,407.8,2063.7,2041,543.6,1899.6,1584,538.3,1223.9,4521,874.1,1729.6,1194,474,875.4,1502,178.4,680.4,1278,194.3,883.6,1072,464.6,2304.5,970,168.2,892.4
통영망일봉,2959,370.6,2787.3,6285,252.2,1600,7683,711.3,4360.6,8035,1163.3,5819.8,6005,910.8,4751.5,2631,73.9,179.2,2067,223.1,754.9,2628,156,597.4,1948,329.9,562.4,2123,263.7,582.8
마산봉암갯벌,7586,396.4,3136,5689,442.2,1987.3,7079,182.3,1810,6437,190.2,2030.8,6117,199.2,2124.4,3967,169.9,2313.6,2612,126.6,1273.4,3160,151.9,1232.5,5563,239,2047.7,2517,115,734.9
부산해양대,1203,41.1,303.9,2101,163.8,798.2,1520,198,695.5,1462,96.3,516.8,1131,171.7,595.3,1201,220.4,447.7,565,71.6,117.9,1679,258,1372.7,1757,280.1,1382.8,1435,115.4,1375.9
울산대왕암,831,194.2,1315.4,1899,75,567.9,1913,149.2,1012.9,1314,414.7,1274.4,1585,230,1072.4,1603,62.8,743.5,2306,83.5,695.4,2682,166,2145.9,1991,146.6,1220.1,3212,282.2,1626.3
포항칠포,2649,298.3,1432,4229,260.6,1944.7,3673,243.9,1135.8,4635,616.3,2623.6,4171,195.6,1212.2,2706,71.1,497.5,3605,168,954.9,1896,101.6,593.2,1961,137.3,913.1,2692,64.6,510.6
울진후정,729,56.7,242.1,1452,169.6,679.1,2518,157.5,1095.8,1439,149.7,1233.5,3683,230.1,2575.7,1648,161.6,1256.6,1768,130.8,1933.9,2170,138.3,2236,1211,83.9,676,1178,95.9,693.4
강릉송정,4015,251.1,1542,2058,214.8,1395.4,4738,201.5,2509.5,5093,239.2,2483,2387,162.9,1278.2,1218,45.6,332.5,1008,53.5,399,1855,52.5,410.7,1046,27.7,247.8,1206,35.5,523.2
속초청초,1182,145.7,1289.7,3489,509.8,1627.8,1862,68.9,782.7,1141,87.3,846,3498,184,1543.5,3045,144.7,1456.6,3252,136,1174,2594,89.1,631.7,2484,112.9,640.1,1758,56.9,371.7
제주차귀도,3735,655.6,6158.8,3936,834.2,12052.6,7358,432.4,2103.1,3454,266.5,2816.5,3150,237.9,1746.9,3233,825.5,4915,1667,239.3,1329.1,,,,,,,,,
인천백령도 사곶해안,,,,,,,,,,,,,,,,,,,1489,355.4,1414.5,2297,556,4030,1132,526.7,1834,580,405.4,1214.1
인천영종도 용유해변,,,,,,,,,,,,,,,,,,,223,22.3,72.2,270,36.3,119.3,172,16.7,47.8,246,50.5,143.2
인천덕적도 서포리해변,,,,,,,,,,,,,,,,,,,988,130.5,1238.4,5132,314.8,1174.6,4111,213.7,1119.5,2599,328.3,1906.7
태안안면도 바람아래해변,,,,,,,,,,,,,,,,,,,139,325.3,350.5,361,268.7,573.8,507,289.3,1604.3,502,577.4,1562.1
서천다사항해변,,,,,,,,,,,,,,,,,,,488,133.5,640,426,441,1026.8,415,236.2,971.8,531,360,1128.7
고창동호해변,,,,,,,,,,,,,,,,,,,360,34.6,447,1455,215.8,3731,910,149.1,460.4,1445,518.4,2018.6
영광백바위해변,,,,,,,,,,,,,,,,,,,295,143.6,2600,974,528.3,4701.5,1075,397.8,1495.5,1392,533,2804.8
신안고장리해변,,,,,,,,,,,,,,,,,,,321,73.3,389,1150,3444.9,4133.4,1256,451.4,3326.4,593,579.7,3094.8
해남예락해변,,,,,,,,,,,,,,,,,,,411,521.1,1350,653,590.4,1342,847,536.8,2188,650,346.2,2148.7
해남송평해변,,,,,,,,,,,,,,,,,,,214,144.5,670,1083,3474.7,18991.1,1052,995.8,4144.2,1067,838.5,4999.3
제주김녕리해안,,,,,,,,,,,,,,,,,,,469,104.1,616.3,2307,360.3,5315.3,1909,600.8,8193.5,2109,431.7,5135.1
완도신지도해변,,,,,,,,,,,,,,,,,,,705,231.7,2161.3,1161,392.4,4202.1,793,592.7,1508.5,670,220,2274.1
여수백야도해변,,,,,,,,,,,,,,,,,,,482,13.8,265.5,1285,66.5,992.3,1621,63.4,1075.2,1634,70.4,1374
고흥염포해변,,,,,,,,,,,,,,,,,,,307,89.1,148.3,1075,85.6,814.4,1193,148.7,1267.9,1296,122,1612.4
남해유구해변,,,,,,,,,,,,,,,,,,,373,90.2,284.3,934,228.9,857,741,159.1,1202.7,671,197.8,920.7
거제두모몽돌해변,,,,,,,,,,,,,,,,,,,3411,200,388.4,2910,132.1,1151.5,5792,383.2,1495.2,2827,115.9,400.3
울주진하해변,,,,,,,,,,,,,,,,,,,159,114.1,1135.8,1740,246.1,2319.3,1460,294.1,1252.8,1518,147.9,844.3
동해노봉해변,,,,,,,,,,,,,,,,,,,932,41.9,465,1782,59.7,389.4,865,41.9,323.5,735,40,152
영덕고래불해변,,,,,,,,,,,,,,,,,,,875,83,841,2551,139.8,1682.6,3651,165.2,1969.7,4495,147,1482
포항구룡포 대보해변,,,,,,,,,,,,,,,,,,,2884,81.7,643.1,4537,169.4,880,3447,221.9,1309.5,4583,223.5,1467.8
제주사계리해안,,,,,,,,,,,,,,,,,,,,,,2184,268.3,2551.6,1800,247.8,1612.4,365,86.4,443
