"","location","x","y","year","EA","kg"
"1","강릉송정",128.9380831,37.7768132,2008,4015,251.1
"2","강릉송정",128.9380831,37.7768132,2009,2058,214.8
"3","강릉송정",128.9380831,37.7768132,2010,4738,201.5
"4","강릉송정",128.9380831,37.7768132,2011,5093,239.2
"5","강릉송정",128.9380831,37.7768132,2012,2387,162.9
"6","강릉송정",128.9380831,37.7768132,2013,1218,45.6
"7","강릉송정",128.9380831,37.7768132,2014,1008,53.5
"8","강릉송정",128.9380831,37.7768132,2015,1855,52.5
"9","강릉송정",128.9380831,37.7768132,2016,1046,27.7
"10","강릉송정",128.9380831,37.7768132,2017,1206,35.5
"11","강릉송정",128.9380831,37.7768132,2018,131,9.7
"12","강릉송정",128.9380831,37.7768132,2019,186,1.8
"13","강화여차리갯벌",126.384005,37.6088601,2008,3709,373.1
"14","강화여차리갯벌",126.384005,37.6088601,2009,3997,273.3
"15","강화여차리갯벌",126.384005,37.6088601,2010,3329,219.4
"16","강화여차리갯벌",126.384005,37.6088601,2011,1278,89.7
"17","강화여차리갯벌",126.384005,37.6088601,2012,1148,247.9
"18","강화여차리갯벌",126.384005,37.6088601,2013,2167,335.1
"19","강화여차리갯벌",126.384005,37.6088601,2014,3330,1092.9
"20","강화여차리갯벌",126.384005,37.6088601,2015,7619,571
"21","강화여차리갯벌",126.384005,37.6088601,2016,6574,452.4
"22","강화여차리갯벌",126.384005,37.6088601,2017,5927,522.6
"23","강화여차리갯벌",126.384005,37.6088601,2018,2004,357.6
"24","강화여차리갯벌",126.384005,37.6088601,2019,1485,81.6
"25","거제두모몽돌해변",128.6405271,34.7740646,2014,3411,200
"26","거제두모몽돌해변",128.6405271,34.7740646,2015,2910,132.1
"27","거제두모몽돌해변",128.6405271,34.7740646,2016,5792,383.2
"28","거제두모몽돌해변",128.6405271,34.7740646,2017,2827,115.9
"29","거제두모몽돌해변",128.6405271,34.7740646,2018,8075,77.7
"30","거제두모몽돌해변",128.6405271,34.7740646,2019,5282,54.7
"31","고창동호해변",126.4840862,35.518854,2014,360,34.6
"32","고창동호해변",126.4840862,35.518854,2015,1455,215.8
"33","고창동호해변",126.4840862,35.518854,2016,910,149.1
"34","고창동호해변",126.4840862,35.518854,2017,1445,518.4
"35","고창동호해변",126.4840862,35.518854,2018,253,108.4
"36","고창동호해변",126.4840862,35.518854,2019,202,37
"37","고흥신흥",127.145048,34.5893787,2008,2880,805.7
"38","고흥신흥",127.145048,34.5893787,2009,3257,948.4
"39","고흥신흥",127.145048,34.5893787,2010,3714,991.8
"40","고흥신흥",127.145048,34.5893787,2011,2156,755.8
"41","고흥신흥",127.145048,34.5893787,2012,3644,1084.2
"42","고흥신흥",127.145048,34.5893787,2013,1817,611.5
"43","고흥신흥",127.145048,34.5893787,2014,1779,415
"44","고흥신흥",127.145048,34.5893787,2015,1523,224.4
"45","고흥신흥",127.145048,34.5893787,2016,2253,410.5
"46","고흥신흥",127.145048,34.5893787,2017,3277,415.2
"47","고흥신흥",127.145048,34.5893787,2018,704,188.8
"48","고흥신흥",127.145048,34.5893787,2019,186,28.1
"49","고흥염포해변",127.4929194,34.4323182,2014,307,89.1
